Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
dike,1,29-May-13,1,1,1293,1
dike,2,1-Jun-13,1,1,834,3
dike,3,4-Jun-13,1,1,634,5
dike,4,7-Jun-13,1,1,426,4
dike,5,10-Jun-13,1,1,673,3
dike,6,13-Jun-13,1,1,632,2
airport,1,31-May-13,2,1,56,1
airport,2,3-Jun-13,2,1,39,0
airport,3,6-Jun-13,2,1,51,0
airport,4,9-Jun-13,2,1,62,0
airport,5,12-Jun-13,2,1,73,0
airport,6,15-Jun-13,2,1,94,0
lighthouse,1,30-May-13,3,1,51,1
lighthouse,2,2-Jun-13,3,1,38,0
lighthouse,3,5-Jun-13,3,1,27,0
lighthouse,4,8-Jun-13,3,1,32,0
lighthouse,5,11-Jun-13,3,1,37,0
lighthouse,6,14-Jun-13,3,1,64,0
