,variable,time,x,density
0,aphid,0,1.0,19.83405768470959
1,aphid,0,2.0,70.8415645989727
2,aphid,0,3.0,264.0458316870801
3,aphid,0,4.0,620.3081785855393
4,aphid,0,5.0,434.17621493480834
5,aphid,0,6.0,96.91821414460685
6,aphid,0,7.0,38.28526274199919
7,aphid,0,8.0,15.211378901619923
8,aphid,1,1.0,11.940298507462785
9,aphid,1,2.0,74.62686567164178
10,aphid,1,3.0,226.8656716417911
11,aphid,1,4.0,507.46268656716427
12,aphid,1,5.0,373.134328358209
13,aphid,1,6.0,80.59701492537317
14,aphid,1,7.0,20.895522388059817
15,aphid,1,8.0,0.0
16,aphid,2,1.0,47.7611940298508
17,aphid,2,2.0,95.5223880597016
18,aphid,2,3.0,137.3134328358209
19,aphid,2,4.0,340.29850746268664
20,aphid,2,5.0,319.40298507462694
21,aphid,2,6.0,74.62686567164178
22,aphid,2,7.0,38.80597014925377
23,aphid,2,8.0,26.865671641791096
24,aphid,3,1.0,35.82089552238813
25,aphid,3,2.0,80.59701492537317
26,aphid,3,3.0,110.44776119402991
27,aphid,3,4.0,214.92537313432842
28,aphid,3,5.0,197.01492537313442
29,aphid,3,6.0,65.67164179104475
30,aphid,3,7.0,44.77611940298516
31,aphid,3,8.0,47.7611940298508
